"Местное время в Буденновске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.08.2019 21:00";"21.8";"751.6";"763.4";"1.3";"37";"Ветер, дующий с северо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.4";"";"";"";"";"";"";
"28.08.2019 18:00";"27.7";"750.3";"761.8";"0.5";"24";"Ветер, дующий с северо-северо-запада";"3";"";"10";"Облаков нет.";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"5.6";"Осадков нет";"12";"";"";"";"";
"28.08.2019 15:00";"29.5";"749.8";"761.2";"-0.7";"22";"Ветер, дующий с северо-запада";"4";"";"12";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.3";"";"";"";"";"";"";
"28.08.2019 12:00";"28.4";"750.5";"762.1";"-0.3";"16";"Ветер, дующий с северо-запада";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"0.4";"";"";"";"";"";"";
"28.08.2019 09:00";"23.7";"750.8";"762.5";"0.8";"32";"Ветер, дующий с севера";"4";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.1";"";"";"";"";"";"";
"28.08.2019 06:00";"18.8";"750.0";"761.8";"0.8";"39";"Ветер, дующий с северо-северо-запада";"3";"";"";"20–30%.";" ";"";"";"18.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"4.5";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"15.0";"";"";
"28.08.2019 03:00";"18.9";"749.2";"761.1";"0.0";"70";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.3";"";"";"";"";"";"";
"28.08.2019 00:00";"20.9";"749.2";"760.9";"-0.3";"60";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"12.8";"";"";"";"";"";"";
"27.08.2019 21:00";"21.5";"749.5";"761.3";"0.3";"54";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"11.7";"";"";"";"";"";"";
"27.08.2019 18:00";"28.9";"749.2";"760.7";"-0.6";"28";"Ветер, дующий с востока";"2";"";"";"40%.";" ";"";"";"";"30.8";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.4";"Осадков нет";"12";"";"";"";"";
